Day,Total_Cases,Cases_Variant1,Cases_Variant2
0,0.33546262790251186,0.33546262790251186,0.0
1,0.7318024188804728,0.7318024188804728,0.0
2,1.533810679324463,1.533810679324463,0.0
3,3.088715408236769,3.088715408236769,0.0
4,5.976022895005943,5.976022895005943,0.0
5,11.108996538242305,11.108996538242305,0.0
6,19.841094744370288,19.841094744370288,0.0
7,34.04745473459934,34.04745473459934,0.0
8,56.134762834133724,56.134762834133724,0.0
9,88.92161745938634,88.92161745938634,0.0
10,135.3352832366127,135.3352832366127,0.0
11,197.89869908361464,197.89869908361464,0.0
12,278.0373004531941,278.0373004531941,0.0
13,375.31109885139955,375.31109885139955,0.0
14,486.7522559599717,486.7522559599717,0.0
15,606.5306597126335,606.5306597126335,0.0
16,726.1490370736909,726.1490370736909,0.0
17,835.270211411272,835.270211411272,0.0
18,923.1163463866358,923.1163463866358,0.0
19,980.1986733067553,980.1986733067553,0.0
20,1000.0,1000.0,0.0
21,980.1986733067553,980.1986733067553,0.0
22,923.1163463866358,923.1163463866358,0.0
23,835.270211411272,835.270211411272,0.0
24,726.1490370736909,726.1490370736909,0.0
25,606.5306597126335,606.5306597126335,0.0
26,486.7522559599717,486.7522559599717,0.0
27,375.31109885139955,375.31109885139955,0.0
28,278.0373004531941,278.0373004531941,0.0
29,197.89869908361464,197.89869908361464,0.0
30,135.3352832366127,135.3352832366127,0.0
31,88.92161745938634,88.92161745938634,0.0
32,56.134762834133724,56.134762834133724,0.0
33,34.04745473459934,34.04745473459934,0.0
34,19.841094744370288,19.841094744370288,0.0
35,11.108996538242305,11.108996538242305,0.0
36,5.976022895005943,5.976022895005943,0.0
37,3.088715408236769,3.088715408236769,0.0
38,1.533810679324463,1.533810679324463,0.0
39,0.7318024188804728,0.7318024188804728,0.0
40,108.26822658929017,0.0,108.26822658929017
41,158.3189592668917,0.0,158.3189592668917
42,222.4298403625553,0.0,222.4298403625553
43,300.24887908111964,0.0,300.24887908111964
44,389.40180476797735,0.0,389.40180476797735
45,485.22452777010676,0.0,485.22452777010676
46,580.9192296589528,0.0,580.9192296589528
47,668.2161691290175,0.0,668.2161691290175
48,738.4930771093086,0.0,738.4930771093086
49,784.1589386454042,0.0,784.1589386454042
50,800.0,0.0,800.0
51,784.1589386454042,0.0,784.1589386454042
52,738.4930771093086,0.0,738.4930771093086
53,668.2161691290175,0.0,668.2161691290175
54,580.9192296589528,0.0,580.9192296589528
55,485.22452777010676,0.0,485.22452777010676
56,389.40180476797735,0.0,389.40180476797735
57,300.24887908111964,0.0,300.24887908111964
58,222.4298403625553,0.0,222.4298403625553
59,158.3189592668917,0.0,158.3189592668917
