Day,Total_Cases,Cases_Variant1,Cases_Variant2
0,0.003726653172078671,0.003726653172078671,0.0
1,0.0061135679663714025,0.0061135679663714025,0.0
2,0.009929504305851081,0.009929504305851081,0.0
3,0.015966783897804745,0.015966783897804745,0.0
4,0.025419346516199245,0.025419346516199245,0.0
5,0.04006529739295107,0.04006529739295107,0.0
6,0.06252150377482026,0.06252150377482026,0.0
7,0.09659341372218401,0.09659341372218401,0.0
8,0.14774836023203364,0.14774836023203364,0.0
9,0.22374579372062056,0.22374579372062056,0.0
10,0.33546262790251186,0.33546262790251186,0.0
11,0.4979554215032735,0.4979554215032735,0.0
12,0.7318024188804728,0.7318024188804728,0.0
13,1.0647662366679205,1.0647662366679205,0.0
14,1.533810679324463,1.533810679324463,0.0
15,2.187491118182885,2.187491118182885,0.0
16,3.088715408236769,3.088715408236769,0.0
17,4.3178400076330785,4.3178400076330785,0.0
18,5.976022895005943,5.976022895005943,0.0
19,8.188701014374082,8.188701014374082,0.0
20,11.108996538242305,11.108996538242305,0.0
21,14.920786069067843,14.920786069067843,0.0
22,19.841094744370288,19.841094744370288,0.0
23,26.121409853918234,26.121409853918234,0.0
24,34.04745473459934,34.04745473459934,0.0
25,43.93693362340742,43.93693362340742,0.0
26,56.134762834133724,56.134762834133724,0.0
27,71.00535373963699,71.00535373963699,0.0
28,88.92161745938634,88.92161745938634,0.0
29,110.25052530448522,110.25052530448522,0.0
30,135.3352832366127,135.3352832366127,0.0
31,164.4744565771549,164.4744565771549,0.0
32,197.89869908361464,197.89869908361464,0.0
33,235.7460765558635,235.7460765558635,0.0
34,278.0373004531941,278.0373004531941,0.0
35,324.6524673583497,324.6524673583497,0.0
36,375.31109885139955,375.31109885139955,0.0
37,429.55735821073915,429.55735821073915,0.0
38,486.7522559599717,486.7522559599717,0.0
39,546.0744266397094,546.0744266397094,0.0
40,606.5306597126335,606.5306597126335,0.0
41,666.9768108584743,666.9768108584743,0.0
42,726.1490370736909,726.1490370736909,0.0
43,782.7045382418681,782.7045382418681,0.0
44,835.270211411272,835.270211411272,0.0
45,882.4969025845954,882.4969025845954,0.0
46,923.1163463866358,923.1163463866358,0.0
47,955.9974818331,955.9974818331,0.0
48,980.1986733067553,980.1986733067553,0.0
49,995.0124791926823,995.0124791926823,0.0
50,1000.0,1000.0,0.0
51,995.0124791926823,995.0124791926823,0.0
52,980.1986733067553,980.1986733067553,0.0
53,955.9974818331,955.9974818331,0.0
54,923.1163463866358,923.1163463866358,0.0
55,882.4969025845954,882.4969025845954,0.0
56,835.270211411272,835.270211411272,0.0
57,782.7045382418681,782.7045382418681,0.0
58,726.1490370736909,726.1490370736909,0.0
59,666.9768108584743,666.9768108584743,0.0
60,606.5306597126335,606.5306597126335,0.0
61,546.0744266397094,546.0744266397094,0.0
62,486.7522559599717,486.7522559599717,0.0
63,429.55735821073915,429.55735821073915,0.0
64,375.31109885139955,375.31109885139955,0.0
65,324.6524673583497,324.6524673583497,0.0
66,278.0373004531941,278.0373004531941,0.0
67,235.7460765558635,235.7460765558635,0.0
68,197.89869908361464,197.89869908361464,0.0
69,164.4744565771549,164.4744565771549,0.0
70,135.3352832366127,135.3352832366127,0.0
71,110.25052530448522,110.25052530448522,0.0
72,88.92161745938634,88.92161745938634,0.0
73,71.00535373963699,71.00535373963699,0.0
74,56.134762834133724,56.134762834133724,0.0
75,43.93693362340742,43.93693362340742,0.0
76,34.04745473459934,34.04745473459934,0.0
77,26.121409853918234,26.121409853918234,0.0
78,19.841094744370288,19.841094744370288,0.0
79,14.920786069067843,14.920786069067843,0.0
80,11.108996538242305,11.108996538242305,0.0
81,8.188701014374082,8.188701014374082,0.0
82,5.976022895005943,5.976022895005943,0.0
83,4.3178400076330785,4.3178400076330785,0.0
84,3.088715408236769,3.088715408236769,0.0
85,2.187491118182885,2.187491118182885,0.0
86,1.533810679324463,1.533810679324463,0.0
87,1.0647662366679205,1.0647662366679205,0.0
88,0.7318024188804728,0.7318024188804728,0.0
89,0.4979554215032735,0.4979554215032735,0.0
90,0.33546262790251186,0.33546262790251186,0.0
91,0.22374579372062056,0.22374579372062056,0.0
92,0.14774836023203364,0.14774836023203364,0.0
93,0.09659341372218401,0.09659341372218401,0.0
94,0.06252150377482026,0.06252150377482026,0.0
95,0.04006529739295107,0.04006529739295107,0.0
96,0.025419346516199245,0.025419346516199245,0.0
97,0.015966783897804745,0.015966783897804745,0.0
98,0.009929504305851081,0.009929504305851081,0.0
99,0.0061135679663714025,0.0061135679663714025,0.0
100,0.00909489050403434,0.0061135679663714025,0.0029813225376629365
101,0.011004422339468524,0.0061135679663714025,0.004890854373097122
102,0.014057171411052269,0.0061135679663714025,0.007943603444680866
103,0.0188869950846152,0.0061135679663714025,0.012773427118243797
104,0.0264490451793308,0.0061135679663714025,0.020335477212959398
105,0.038165805880732255,0.0061135679663714025,0.032052237914360855
106,0.05613077098622761,0.0061135679663714025,0.05001720301985621
107,0.0833882989441186,0.0061135679663714025,0.0772747309777472
108,0.12431225615199831,0.0061135679663714025,0.11819868818562691
109,0.18511020294286787,0.0061135679663714025,0.17899663497649645
110,0.2744836702883809,0.0061135679663714025,0.2683701023220095
