Day,Total_Cases,Cases_Variant1,Cases_Variant2
0,0.8838289419063382,0.8838263069350499,2.6349712882448647e-06
1,2.1875033021666805,2.187491118182885,1.2183983795770104e-05
2,5.0861221558258025,5.086069231012701,5.2924813101581606e-05
3,11.109212504522574,11.108996538242305,0.00021596628026904113
4,22.795008766981233,22.794180883612345,0.0008278833688875003
5,43.939914945945084,43.93693362340742,0.0029813225376629365
6,79.56959440236933,79.55950871822769,0.010085684141638818
7,135.36733547452707,135.3352832366127,0.032052237914360855
8,216.36085713675212,216.2651668298873,0.0956903068648195
9,324.92083746067175,324.6524673583497,0.2683701023220095
10,458.54042281716227,457.83336177161425,0.70706104554804
11,608.2806526071797,606.5306597126335,1.7499928945463081
12,758.9084573738174,754.8396019890073,4.068855384810161
13,891.3840998151893,882.4969025845954,8.887197230593845
14,987.468579183234,969.2332344763441,18.235344706889876
15,1035.149546898726,1000.0,35.14954689872594
16,1032.8808414509263,969.2332344763441,63.647606974582146
17,990.7651291738856,882.4969025845954,108.26822658929017
18,927.8517354529172,754.8396019890073,173.01213346390983
19,866.2526335993132,606.5306597126335,259.7219738866798
20,824.1000511889056,457.83336177161425,366.2666894172914
21,809.8769951284564,324.6524673583497,485.22452777010676
22,820.1368484210932,216.2651668298873,603.8716815912059
23,841.3328053042891,135.3352832366127,705.9975220676764
24,854.946096299303,79.55950871822769,775.3865875810753
25,843.9369336234074,43.93693362340742,800.0
26,798.1807684646877,22.794180883612345,775.3865875810753
27,717.1065186059187,11.108996538242305,705.9975220676764
28,608.9577508222186,5.086069231012701,603.8716815912059
29,487.41201888828965,2.187491118182885,485.22452777010676
30,367.15051572422647,0.8838263069350499,366.2666894172914
31,260.0574365145823,0.33546262790251186,259.7219738866798
32,173.13174634749086,0.11961288358102437,173.01213346390983
33,108.30829188668312,0.04006529739295107,108.26822658929017
34,63.66021407975919,0.012607105177048522,63.647606974582146
35,35.15327355189802,0.003726653172078671,35.14954689872594
36,18.236379561100986,0.0010348542111093754,18.235344706889876
37,8.887467188444182,0.0002699578503363014,8.887197230593845
38,4.068921540826538,6.615601637697701e-05,4.068855384810161
39,1.7500081245260528,1.5229979744712628e-05,1.7499928945463081
40,0.7070643392621503,3.293714110306081e-06,0.70706104554804
41,0.2683707714806186,6.691586091292782e-07,0.2683701023220095
42,0.09569043457597495,1.2771115545128333e-07,0.0956903068648195
43,0.03205226081170931,2.289734845645553e-08,0.032052237914360855
44,0.010085687998181547,3.8565427284697245e-09,0.010085684141638818
45,0.0029813231478566043,6.101936677605324e-10,0.0029813225376629365
46,0.000827883459584692,9.069719177099093e-11,0.0008278833688875003
47,0.0002159662929332067,1.2664165549094176e-11,0.00021596628026904113
48,5.292481476275862e-05,1.661177012699743e-12,5.2924813101581606e-05
49,1.2183984000467276e-05,2.0469717131642043e-13,1.2183983795770104e-05
